City,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind speed,Country,Date
Port Alfred,-33.5906,26.891,70.0,94,100,1.01,ZA,1610536051
Teknāf,20.8624,92.3058,75.25,54,12,11.39,BD,1610536177
Mar del Plata,-38.0023,-57.5575,64.4,63,0,13.8,AR,1610536177
Moose Factory,51.2585,-80.6094,30.2,100,90,11.5,CA,1610536177
Hobart,-42.8794,147.3294,66.99,77,90,11.5,AU,1610536101
Lüderitz,-26.6481,15.1594,72.28,65,25,11.12,NA,1610536178
Benemérito de las Américas,16.5167,-90.6439,67.1,97,98,1.7,MX,1610536178
Saskylakh,71.9167,114.0833,-35.14,80,90,12.12,RU,1610536178
Codrington,-38.2667,141.9667,58.51,79,59,13.73,AU,1610536179
Kaitangata,-46.2817,169.8464,56.98,96,10,1.79,NZ,1610536179
Moyale,3.5167,39.0584,85.41,20,0,13.67,KE,1610536179
Norsup,-16.0667,167.3833,81.07,82,100,3.58,VU,1610536179
Cayenne,4.9333,-52.3333,77.0,94,75,2.3,GF,1610536179
Ternate,0.8,127.4,82.74,76,80,5.73,ID,1610536180
Rørvik,64.8621,11.2373,21.2,68,0,8.05,NO,1610536180
Hobyo,5.3505,48.5268,80.51,64,19,23.33,SO,1610536180
Port Blair,11.6667,92.75,79.34,78,41,14.45,IN,1610535978
Port Macquarie,-31.4333,152.9167,70.0,89,7,9.64,AU,1610536181
Hasaki,35.7333,140.8333,39.2,86,20,2.3,JP,1610536181
Kapaa,22.0752,-159.319,71.6,88,1,10.36,US,1610536181
Seddon,-37.8068,144.8916,73.99,68,70,6.91,AU,1610536182
Nikolskoye,59.7035,30.7861,8.6,78,90,13.42,RU,1610536182
Lagoa,39.05,-27.9833,59.67,79,62,8.72,PT,1610536182
Provideniya,64.3833,-173.3,-4.05,84,100,8.19,RU,1610536183
Sioux Lookout,50.1001,-91.917,19.4,93,1,5.75,CA,1610536056
Alenquer,-1.9417,-54.7383,73.4,100,20,2.3,BR,1610536183
Ust'-Barguzin,53.45,108.9833,-6.21,90,99,6.06,RU,1610536183
Henties Bay,-22.116,14.2845,67.73,80,99,4.45,NA,1610536184
Norman Wells,65.282,-126.8329,-2.2,78,90,9.22,CA,1610536052
Dudinka,69.4058,86.1778,-13.99,89,73,7.7,RU,1610536029
Marathon,44.9,-89.7668,24.01,93,1,6.17,US,1610536184
São Filipe,14.8961,-24.4956,71.56,73,22,11.74,CV,1610536184
Meadow Lake,34.8014,-106.5436,32.0,37,20,5.75,US,1610536185
Marrakesh,31.6315,-8.0083,51.8,62,0,3.44,MA,1610536047
Camacha,33.0833,-16.3333,59.0,55,75,5.75,PT,1610536185
Taoudenni,22.6783,-3.9836,69.98,21,80,18.45,ML,1610536185
Khatanga,71.9667,102.5,-23.19,86,100,8.46,RU,1610536029
Jamestown,42.097,-79.2353,28.0,100,90,9.57,US,1610536186
Jumla,29.2747,82.1838,55.63,30,0,4.61,NP,1610536186
Bredasdorp,-34.5322,20.0403,73.4,73,90,17.27,ZA,1610536186
Palmer,42.1584,-72.3287,26.01,93,90,2.57,US,1610536186
Meulaboh,4.1363,96.1285,79.74,83,93,7.92,ID,1610536187
Eyl,7.9803,49.8164,84.69,37,10,21.63,SO,1610536187
Morón,-34.6534,-58.6198,72.0,60,43,3.0,AR,1610536187
Dikson,73.5069,80.5464,-22.83,87,23,10.47,RU,1610536029
Misratah,32.3754,15.0925,60.51,60,67,25.75,LY,1610536188
High Level,58.5169,-117.136,23.0,93,20,2.3,CA,1610536188
Inhambane,-23.865,35.3833,80.6,94,75,2.3,MZ,1610536188
Bensonville,6.4461,-10.6125,82.4,83,75,3.06,LR,1610536188
East London,-33.0153,27.9116,73.4,94,90,8.05,ZA,1610536189
Māndal,25.45,74.5667,74.17,17,0,3.98,IN,1610536189
Gwadar,25.1216,62.3254,75.25,20,12,8.88,PK,1610536189
Saint Paul Harbor,57.79,-152.4072,24.8,100,1,4.61,US,1610536190
Itaituba,-4.2761,-55.9836,74.73,92,52,1.79,BR,1610536190
Bentiu,9.2333,29.8333,106.25,9,57,2.53,SS,1610536190
Tasiilaq,65.6145,-37.6368,30.2,93,90,41.43,GL,1610536190
Taltal,-25.4,-70.4833,64.13,68,49,3.96,CL,1610536190
Nemuro,43.3236,145.575,31.39,93,49,17.58,JP,1610535951
Pacific Grove,36.6177,-121.9166,52.0,81,1,5.75,US,1610536047
Sept-Îles,50.2001,-66.3821,14.0,85,89,3.44,CA,1610536191
Katsuura,35.1333,140.3,46.4,66,20,5.75,JP,1610536191
Dolgoye,52.8,37.2167,16.32,96,100,20.13,RU,1610536191
Iqaluit,63.7506,-68.5145,-2.2,71,90,13.8,CA,1610536057
Sibolga,1.7427,98.7792,78.62,80,89,1.03,ID,1610536192
Akdepe,42.0551,59.3788,39.2,56,0,16.11,TM,1610536192
Shingū,33.7333,135.9833,42.8,61,20,4.61,JP,1610536027
Nuquí,5.7125,-77.2708,75.42,86,10,4.05,CO,1610536193
Nanortalik,60.1432,-45.2371,30.09,95,100,15.3,GL,1610536021
Richards Bay,-28.783,32.0377,85.78,61,5,10.36,ZA,1610536193
Varhaug,58.6147,5.6457,30.2,55,0,12.66,NO,1610536194
América Dourada,-11.4553,-41.4361,74.62,68,62,7.23,BR,1610536194
Nantucket,41.2835,-70.0995,35.6,64,90,5.75,US,1610536194
Margate,51.3813,1.3862,42.01,88,100,3.0,GB,1610536194
Tsimmerbude,54.675,20.1347,35.01,93,75,4.47,RU,1610536194
Barrow,71.2906,-156.7887,-2.2,78,1,25.32,US,1610536157
Yar-Sale,66.8333,70.8333,4.64,90,15,18.01,RU,1610536195
Port Hedland,-20.3167,118.5667,91.4,70,4,14.97,AU,1610536195
Pañgobilian,8.8011,117.8594,79.83,79,84,13.8,PH,1610536195
Sungai Penuh,-2.0833,101.3833,66.54,96,100,1.7,ID,1610535979
Torbay,47.6666,-52.7314,30.0,93,90,9.22,CA,1610536196
Castro,-24.7911,-50.0119,68.23,91,100,9.73,BR,1610536196
Tuatapere,-46.1333,167.6833,55.99,86,78,1.01,NZ,1610536197
Zirgan,53.2222,55.9185,-1.21,91,59,4.12,RU,1610536197
Faya,18.3851,42.4509,64.4,39,40,11.5,SA,1610536197
Pisco,-13.7,-76.2167,66.2,82,100,2.3,PE,1610536197
Avarua,-21.2078,-159.775,80.6,78,75,12.66,CK,1610536063
Rawson,-43.3002,-65.1023,62.62,58,0,14.03,AR,1610536198
Olafsvik,64.8945,-23.7142,39.97,80,100,25.77,IS,1610536198
Hendek,40.7994,30.7481,44.6,93,75,4.61,TR,1610536198
Ileza,61.0533,43.9002,-12.91,89,5,4.41,RU,1610536198
Esperantinópolis,-4.8667,-44.7083,76.03,94,100,0.92,BR,1610536199
Daru,-9.0763,143.2092,81.88,83,83,4.79,PG,1610536199
Dom Pedro,-4.4833,-44.45,75.6,88,100,2.26,BR,1610536199
Fortuna,40.5982,-124.1573,59.0,100,90,9.22,US,1610536199
Faanui,-16.4833,-151.75,81.39,77,100,19.57,PF,1610536200
Puerto Baquerizo Moreno,-0.9,-89.6,73.6,87,38,12.46,EC,1610536200
Necochea,-38.5473,-58.7368,61.0,78,0,4.72,AR,1610536200
Sovetskiy,61.3614,63.5842,-9.8,87,0,3.98,RU,1610536200
Thanh Hoa,19.8,105.7667,60.82,48,7,5.86,VN,1610536200
Alofi,-19.0595,-169.9187,77.0,94,100,4.61,NU,1610536201
Gezing,47.9178,13.1299,34.0,75,75,12.66,AT,1610536201
Ürümqi,43.801,87.6005,19.4,68,88,6.71,CN,1610536044
La Ronge,55.1001,-105.2842,24.8,80,81,5.75,CA,1610536202
Rovaniemi,66.5,25.7167,-9.4,77,0,11.5,FI,1610536202
Ryabovo,59.4,31.1333,8.6,78,90,13.42,RU,1610536202
Vila Franca do Campo,37.7167,-25.4333,60.8,94,20,4.61,PT,1610536202
Rundu,-17.9333,19.7667,82.4,55,100,5.14,NA,1610536203
Ust'-Karsk,52.7011,118.8077,-12.19,85,98,1.23,RU,1610536203
Vanavara,60.34,102.2797,-25.33,85,99,6.76,RU,1610536030
Cherskiy,68.75,161.3,-18.17,84,95,7.38,RU,1610536203
Muros,42.7762,-9.0603,43.0,88,1,2.57,ES,1610536204
Gushikawa,26.3544,127.8686,55.4,62,90,6.91,JP,1610536035
Khudumelapye,-23.8833,24.75,91.18,29,14,13.65,BW,1610536204
Santa Ana,33.7456,-117.8678,48.2,76,1,2.42,US,1610536204
Mount Gambier,-37.8333,140.7667,59.0,72,40,13.8,AU,1610536204
Bundibugyo,0.7414,30.0417,95.52,25,15,3.38,UG,1610536205
Portland,45.5234,-122.6762,50.0,76,90,5.75,US,1610536205
Plácido de Castro,-10.3353,-67.1856,72.88,97,100,1.34,BR,1610536205
Severo-Kuril'sk,50.6789,156.125,18.12,88,79,11.48,RU,1610536034
Dingle,10.9995,122.6711,75.65,82,100,10.02,PH,1610536206
Valle de Allende,26.9333,-105.4,30.56,93,0,1.68,MX,1610536206
São Geraldo do Araguaia,-6.4006,-48.555,75.85,91,29,3.09,BR,1610536206
Ust-Nera,64.5667,143.2,-30.3,75,40,2.33,RU,1610536206
Tongling,30.95,117.7833,48.67,51,0,3.91,CN,1610536207
Port Hardy,50.6996,-127.4199,41.0,93,90,16.11,CA,1610536052
Sabha,27.0377,14.4283,58.66,35,100,6.89,LY,1610536207
Brae,60.3964,-1.353,39.2,81,40,11.5,GB,1610536207
Marovoay,-16.1,46.6333,87.8,74,20,13.8,MG,1610536208
Tefé,-3.3542,-64.7114,73.44,98,99,1.21,BR,1610536208
Yeniseysk,58.4497,92.1703,-24.9,85,29,2.35,RU,1610536208
Padang,-0.9492,100.3543,78.93,73,88,8.95,ID,1610536208
Bodden Town,19.2833,-81.25,78.01,87,8,8.99,KY,1610536208
Tiksi,71.6872,128.8694,-34.71,80,36,3.38,RU,1610536029
Kavaratti,10.5669,72.642,78.01,81,100,15.05,IN,1610536039
Oranjemund,-28.55,16.4333,69.82,69,23,10.0,NA,1610536210
Grand-Lahou,5.1367,-5.0242,81.54,79,100,8.16,CI,1610536210
Ca Mau,9.1769,105.15,75.31,70,56,5.64,VN,1610536026
Akhisar,38.9185,27.8401,55.18,64,60,6.64,TR,1610536210
Jishou,28.3167,109.7167,51.66,46,0,1.14,CN,1610536211
Primorsko-Akhtarsk,46.0497,38.1747,51.46,83,100,13.02,RU,1610536035
Kahului,20.8947,-156.47,73.4,78,20,9.22,US,1610536211
Mendi,-6.1761,143.6513,58.75,100,100,0.49,PG,1610536211
Palmas,-10.2128,-48.3603,75.2,88,75,3.44,BR,1610536212
Port-Gentil,-0.7193,8.7815,78.8,89,40,11.5,GA,1610536212
Petrykivka,48.7298,34.6351,30.2,93,90,6.71,UA,1610536212
Dubrovka,53.6907,33.5071,23.0,80,90,11.18,RU,1610536212
Ekuvukeni,-28.4675,30.1551,92.93,28,47,2.17,ZA,1610536212
Saldanha,-33.0117,17.9442,87.8,40,14,10.36,ZA,1610536051
Srednekolymsk,67.45,153.6833,-34.83,82,67,5.06,RU,1610536213
Russell,32.3502,-85.1999,33.8,86,40,4.07,US,1610536213
Bambanglipuro,-7.95,110.2833,80.69,80,77,7.31,ID,1610536213
Anito,12.4497,125.2886,78.48,90,100,10.13,PH,1610536214
Cruzília,-21.8386,-44.8083,69.46,89,100,5.93,BR,1610536214
Kavieng,-2.5744,150.7967,83.14,75,19,15.95,PG,1610536214
Mount Isa,-20.7333,139.5,93.2,33,94,8.05,AU,1610536215
Kerchevskiy,59.946,56.2884,-9.44,87,20,0.76,RU,1610536215
Kautokeino,69.0125,23.0412,-11.22,87,100,10.54,NO,1610536215
Takhatgarh,25.3333,73.0,79.48,15,0,6.29,IN,1610536216
Shediac,46.2198,-64.5411,16.0,92,75,4.61,CA,1610536216
Salina,38.8403,-97.6114,32.0,80,1,4.61,US,1610536216
Talnakh,69.4865,88.3972,-14.75,87,89,10.67,RU,1610536216
Patacamaya,-17.2333,-67.9167,46.15,77,100,4.5,BO,1610536216
Naze,28.3667,129.4833,48.2,87,40,2.3,JP,1610536114
Sakakah,29.9697,40.2064,69.8,19,0,13.8,SA,1610536218
Qasigiannguit,68.8193,-51.1922,28.4,86,75,4.61,GL,1610536218
Iringa,-7.7667,35.7,78.8,61,75,6.91,TZ,1610536218
Kajaani,64.2273,27.7285,-4.0,65,0,10.36,FI,1610536218
Calabozo,8.9242,-67.4293,71.35,79,79,5.84,VE,1610536219
Chui,-33.6971,-53.4616,67.15,56,0,4.03,UY,1610536219
Alappuzha,9.49,76.3264,83.19,75,100,4.41,IN,1610536219
Kruisfontein,-34.0033,24.7314,73.99,84,100,8.99,ZA,1610536219
Praia da Vitória,38.7333,-27.0667,57.99,100,20,3.58,PT,1610536220
Laguna,38.421,-121.4238,48.99,87,1,2.93,US,1610536220
Salinópolis,-0.6136,-47.3561,81.03,81,92,10.09,BR,1610536221
Lebu,-37.6167,-73.65,52.88,72,41,12.3,CL,1610536221
Tangjiazhuang,39.7333,118.45,27.52,75,0,5.59,CN,1610536221
Piopio,-38.4667,175.0167,64.99,89,50,1.01,NZ,1610536222
Cascas,-7.4833,-78.8167,64.44,77,81,0.47,PE,1610536222
Suicheng,33.8963,117.9331,43.47,62,0,1.1,CN,1610536222
Okhotsk,59.3833,143.3,-13.04,84,25,7.52,RU,1610536033
Narsaq,60.9167,-46.05,32.0,93,90,2.3,GL,1610536223
Shimanovsk,52.0,127.7,-10.75,88,96,6.93,RU,1610536043
Tacoronte,28.4769,-16.4102,57.99,82,40,6.91,ES,1610536223
Kumul,42.8,93.45,22.06,78,100,6.11,CN,1610536044
Zhuanghe,39.7008,122.9911,27.0,35,0,1.99,CN,1610536223
Hong Kong,22.2855,114.1577,57.0,49,39,4.88,HK,1610536126
Guozhen,34.3659,107.359,46.36,47,0,3.13,CN,1610536026
Matara,5.9485,80.5353,76.01,91,100,4.43,LK,1610536224
Grindavik,63.8424,-22.4338,41.0,87,90,40.29,IS,1610536224
Monywa,22.1167,95.1333,77.41,54,48,2.39,MM,1610536042
Yaan,7.3833,8.5667,95.34,10,0,10.22,NG,1610535971
Peleduy,59.6289,112.7406,-14.76,85,100,7.83,RU,1610536226
Longyearbyen,78.2186,15.6401,23.0,74,75,8.05,SJ,1610536226
Pitimbu,-7.4706,-34.8086,82.4,74,75,5.75,BR,1610536226
Aksu,41.1231,80.2644,27.95,67,0,5.32,CN,1610536226
Mubende,0.5606,31.39,85.98,30,86,4.74,UG,1610536227
Husavik,66.0449,-17.3389,33.8,75,0,8.05,IS,1610536227
Shakawe,-18.3667,21.85,86.38,50,19,7.61,BW,1610536227
Tessalit,20.1986,1.0114,85.69,12,45,7.76,ML,1610536227
Machachi,-0.5,-78.5667,53.6,93,75,1.14,EC,1610536228
Mnogovershinnyy,53.9353,139.9242,-15.59,87,100,2.57,RU,1610536228
Mercedes,-34.6515,-59.4307,66.99,72,68,5.01,AR,1610536228
Guerrero Negro,27.9769,-114.0611,50.0,48,0,1.57,MX,1610536228
Touros,-5.1989,-35.4608,78.8,83,75,4.61,BR,1610536229
Vestmanna,62.1564,-7.1664,35.6,80,20,9.22,FO,1610536229
Paamiut,61.994,-49.6678,26.62,96,100,18.48,GL,1610536230
Florianópolis,-27.6146,-48.5012,82.0,78,75,10.36,BR,1610536230
Alyangula,-13.8483,136.4192,82.4,83,94,3.44,AU,1610536230
Kuytun,54.3419,101.5036,-14.57,90,89,2.01,RU,1610536231
Atar,20.5169,-13.0499,70.23,23,29,15.03,MR,1610536231
Leningradskiy,69.3833,178.4167,-15.21,86,100,12.39,RU,1610536231
Vangaindrano,-23.35,47.6,87.87,61,0,9.62,MG,1610536231
Salisbury,51.0693,-1.7957,50.0,93,90,18.41,GB,1610536232
Pendra,22.7667,81.95,72.25,20,0,8.48,IN,1610536232
Taicheng,38.731,113.228,25.9,70,0,3.27,CN,1610536232
Saint-Augustin,51.226,-58.6502,15.33,88,1,4.45,CA,1610536232
Klichka,50.4457,117.996,-15.59,85,40,3.76,RU,1610536233
Surskoye,54.4821,46.7214,-4.61,90,98,6.31,RU,1610536233
College,64.8569,-147.8028,-2.2,77,40,2.35,US,1610536233
Lorengau,-2.0226,147.2712,83.35,76,74,10.2,PG,1610536233
Beloha,-25.1667,45.05,96.51,35,0,14.72,MG,1610536234
Houma,29.5958,-90.7195,39.99,100,90,3.87,US,1610536234
Sretensk,52.2453,117.7093,-15.02,86,96,1.16,RU,1610536033
Namatanai,-3.6667,152.4333,81.36,76,18,11.77,PG,1610536234
Asău,46.4333,26.4,30.2,100,75,1.14,RO,1610536235
Pedernales,18.0384,-71.744,74.53,51,23,6.2,DO,1610536235
Aklavik,68.2191,-135.0107,-4.0,84,100,2.3,CA,1610536235
Noumea,-22.2763,166.4572,82.0,88,90,9.22,NC,1610536161
Calama,-22.4667,-68.9333,50.0,43,0,16.11,CL,1610536235
Ixtapa,20.7,-105.2,61.54,56,72,2.8,MX,1610536236
Bubaque,11.2833,-15.8333,76.73,46,0,15.08,GW,1610536236
Makakilo City,21.3469,-158.0858,77.0,69,1,10.36,US,1610535961
Opuwo,-18.0607,13.84,81.66,24,100,7.7,NA,1610536237
Mehamn,71.0357,27.8492,14.0,44,0,11.5,NO,1610536237
Bathsheba,13.2167,-59.5167,75.2,88,40,12.66,BB,1610536238
Te Anau,-45.4167,167.7167,57.33,82,69,3.06,NZ,1610536238
Verkhoyansk,67.5447,133.385,-45.65,64,17,0.69,RU,1610535967
Kapuskasing,49.4169,-82.4331,30.2,80,100,8.05,CA,1610536056
Cairns,-16.9167,145.7667,79.0,89,100,6.91,AU,1610536014
Mago,53.2514,140.1822,-10.95,87,100,2.86,RU,1610536239
Ilulissat,69.2167,-51.1,28.4,86,75,4.61,GL,1610536239
Zhaotong,27.3167,103.7167,38.59,79,38,5.14,CN,1610536238
Souillac,-20.5167,57.5167,84.2,70,20,13.8,MU,1610536240
Drezna,55.7458,38.8497,12.2,79,75,6.71,RU,1610536240
Blackfoot,43.1905,-112.345,35.6,69,90,13.8,US,1610536094
Sittwe,20.15,92.9,76.41,54,0,14.09,MM,1610536042
Carnarvon,-24.8667,113.6333,78.8,83,0,19.57,AU,1610536241
Ko Samui,9.5357,99.9357,77.0,69,75,8.05,TH,1610536241
Yoichi,43.2039,140.7703,30.2,93,75,3.44,JP,1610536081
Mossamedes,-15.1961,12.1522,80.6,54,20,12.66,AO,1610536241
Amalāpuram,16.5833,82.0167,86.0,58,20,4.61,IN,1610536214
Aykino,62.2248,49.9922,-12.14,87,41,2.28,RU,1610536242
Alexandria,31.2156,29.9553,68.0,73,40,17.27,EG,1610536049
Soyo,-6.1349,12.3689,84.2,74,40,6.91,AO,1610536242
Abu Kamal,34.4506,40.9171,71.31,22,100,11.27,SY,1610536242
Conde,-7.2597,-34.9075,82.4,74,75,5.75,BR,1610536243
Rockport,28.0206,-97.0544,35.6,100,1,5.75,US,1610536243
Khimki,55.9017,37.4375,14.0,85,40,13.42,RU,1610536243
Adelaide,-34.9333,138.6,68.0,52,0,12.66,AU,1610536028
Ghanzi,-21.5667,21.7833,86.52,44,15,12.93,BW,1610536244
Xichang,27.8964,102.2634,48.0,43,7,3.67,CN,1610536224
Kungurtug,50.5994,97.5228,2.95,89,100,0.96,RU,1610536244
Porto Santo,33.072,-16.3415,59.0,55,75,5.75,PT,1610536023
Kozachi Laheri,46.7037,32.9776,28.4,100,75,13.42,UA,1610536245
Guane,22.2025,-84.0875,68.05,93,47,5.73,CU,1610536245
Phalaborwa,-23.943,31.1411,86.0,62,36,5.75,ZA,1610536051
Saint-François,46.4154,3.9054,43.0,100,90,3.44,FR,1610536246
At-Bashi,41.1702,75.8106,23.4,91,95,1.59,KG,1610536246
La Rioja,42.25,-2.5,41.0,75,75,12.66,ES,1610536246
Inuvik,68.3499,-133.7218,-4.0,84,98,2.3,CA,1610536246
Manggar,-2.8833,108.2667,77.09,89,100,12.77,ID,1610536247
Vila Velha,-20.3297,-40.2925,82.4,65,20,9.22,BR,1610536247
Port Moresby,-9.4431,147.1797,77.0,100,75,3.44,PG,1610536247
Semnan,35.5729,53.3971,49.82,44,0,2.57,IR,1610536248
Takoradze,4.8845,-1.7554,83.88,73,48,9.89,GH,1610536248
Salalah,17.0151,54.0924,82.4,20,0,20.71,OM,1610536038
Cao Bang,22.6667,106.25,59.02,34,0,2.17,VN,1610536008
Gizo Government Station,-8.103,156.8419,83.84,74,100,10.16,SB,1610536249
Winburg,-28.518,27.0093,82.65,38,19,6.02,ZA,1610536249
Pauini,-7.7136,-66.9764,73.33,97,85,0.63,BR,1610536249
Chokurdakh,70.6333,147.9167,-38.81,83,31,1.16,RU,1610536029
Esperance,-33.8667,121.9,64.4,55,20,19.57,AU,1610536250
Ostrovnoy,68.0531,39.5131,4.14,92,74,18.63,RU,1610536250
Hattiesburg,31.3271,-89.2903,36.0,93,75,2.42,US,1610536250
Belyy Yar,53.6039,91.3903,-4.0,77,75,4.47,RU,1610536250
Karsun,54.1994,46.9827,-3.26,90,100,5.79,RU,1610536250
Puerto Escondido,15.85,-97.0667,73.76,60,0,4.81,MX,1610536251
Maceió,-9.6658,-35.7353,78.8,78,75,6.91,BR,1610536251
Haining,30.5363,120.6864,55.0,46,0,2.24,CN,1610536251
La Asuncion,11.0333,-63.8628,74.86,82,93,10.92,VE,1610536251
Coyhaique,-45.5752,-72.0662,41.0,93,0,6.91,CL,1610536252
San Jose,37.3394,-121.895,51.01,87,1,4.61,US,1610536252
Atchison,39.563,-95.1216,34.0,79,53,10.54,US,1610536252
Ancud,-41.8697,-73.8203,48.0,81,0,3.44,CL,1610536252
Lovozero,68.005,35.0117,-3.24,89,1,5.64,RU,1610536253
Coroatá,-4.13,-44.1242,77.16,86,97,1.16,BR,1610536253
Taihecun,45.8,130.85,3.15,91,99,9.17,CN,1610536253
Lac du Bonnet,50.2536,-96.0612,17.01,100,2,3.36,CA,1610536253
Tahoua,14.8888,5.2692,86.0,10,0,4.61,NE,1610536048
Shache,38.4167,77.2406,41.34,41,0,1.5,CN,1610536254
